职位名,公司名,工作地点,薪资,发布日期
"

                    3C产品采购专员                
",深圳市恩方文化传媒传播有限公司,深圳-南山区,0.8-1万/月,10-17
"

                                    H3C渠道销售专员                                
",上海海拓信息技术有限公司,上海-静安区,0.5-1万/月,10-17
"

                                    外贸B2C亚马逊/速卖通运营经理                                
",深圳市天成照明有限公司,深圳-宝安区,0.6-1万/月,10-17
"

                                    C# winform/.Net软件工程师                                
",上海欧融芝实业有限公司,上海-静安区,0.8-1.5万/月,10-17
"

                                    wish销售/外贸业务员/B2C                                
",长沙市环金网络科技有限公司,长沙-岳麓区,4-8千/月,10-17
"

                                    B2C外贸销售（ 电商运营/外贸专员 ）                                
",武汉市洪京科技有限公司,武汉-洪山区,5-9千/月,10-17
"

                                    C++开发工程师                                
",长沙致天信息科技有限责任公司,长沙-岳麓区,6-9千/月,10-17
"

                                    C++开发工程师                                
",杭州联汇科技股份有限公司,杭州-滨江区,1-1.5万/月,10-17
"

                                    C#开发工程师                                
",江苏科佳软件开发有限公司,常州,6-8千/月,10-17
"

                                    C/C++软件工程师                                
",武汉中科创新技术股份有限公司,武汉-江夏区,0.8-1.5万/月,10-17
"

                                    C#开发工程师                                
",觅优云平台,上海-普陀区,1-2万/月,10-17
"

                                    电商产品开发（B2C精品）                                
",东莞市和旺电器有限公司湖南分公司,长沙,3-8千/月,10-17
"

                                    C++开发工程师                                
",南京锐柏尔信息技术有限公司,南京-江宁区,1-1.5万/月,10-17
"

                                    棋牌游戏C++高级工程师                                
",辽宁巨全网络发展有限公司,沈阳-沈河区,0.8-1万/月,10-17
"

                                    C/C++嵌入式软件开发工程师                                
",郑州思博科信息技术有限公司,郑州,0.6-1万/月,10-17
"

                                    .NET/C#/Winform开发工程师                                
",深圳神盾卫民警用设备有限公司,异地招聘,1-1.5万/月,10-17
"

                                    车载嵌入式C开发                                
",大连华夏腾飞科技有限公司,大连,1-1.5万/月,10-17
"

                                    C#/C++应用软件工程师                                
",杭州野乐科技有限公司,杭州-余杭区,0.5-1万/月,10-17
"

                                    C#/WPF高级软件工程师                                
",无锡鲲鹏智能图像技术有限公司,无锡-惠山区,1.2-1.5万/月,10-17
"

                                    C#开发工程师                                
",广州数建信息科技有限公司,广州,0.8-1.3万/月,10-17
"

                                    c#.net软件工程师                                
",宁波圣达智能科技有限公司,宁波-鄞州区,6-8千/月,10-17
"

                                    C#程序员                                
",杭州益利素勒精线有限公司,杭州-余杭区,0.3-1万/月,10-17
"

                                    C++程序员-提供实习岗                                
",合肥优视嵌入式技术有限责任公司,合肥-高新区,6-8千/月,10-17
"

                                    C语言软件工程师C++                                
",武汉佰力博科技有限公司,武汉-东湖新技...,0.5-1万/月,10-17
"

                                    c#开发工程师                                
",东莞市本一科技有限公司,东莞-东城区,1-1.5万/月,10-17
"

                                    高薪诚聘+C#开发工程师                                
",长沙路草软件开发有限公司,长沙-岳麓区,4.5-8千/月,10-17
"

                                    C#开发工程师（对日）                                
",大连瑞诺科技有限公司,大连,0.8-1.5万/月,10-17
"

                                    C++开发实习生                                
",成都通甲优博科技有限责任公司,成都,,10-17
"

                                    C/C++开发工程师（深圳）                                
",天音通信控股股份有限公司,深圳,,10-17
"

                                    市场营销类管培生C                                
",湖南梦洁家纺股份有限公司,长沙,,10-17
"

                                    C-车联网系统功能设计类                                
",潍柴动力股份有限公司,潍坊,,10-17
"

                                    软件工程(C/C++方向)（工作地址西安）                                
",中国电子科技集团公司第二十研究所,兰州,,10-17
"

                                    C/C++工程师                                
",深圳市联软科技股份有限公司,长沙,,10-17
"

                                    c/c++工程师                                
",江苏聆世科技有限公司,南京,,10-17
"

                                    C/C++软件工程师                                
",龙芯中科技术有限公司,南京,,10-17
"

                                    C++软件开发工程师                                
",南京九芯电子科技有限公司（华大九...,南京,,10-17
"

                                    C++软件工程师                                
",南京艾科朗克信息科技有限公司,南京,,10-17
"

                                    C++工程师                                
",冠群信息技术（南京）有限公司,南京,,10-17
"

                                    C++软件开发工程师                                
",纳博特南京科技有限公司,南京,,10-17
"

                                    C++研发工程师                                
",孩子王儿童用品（中国）有限公司,南京,,10-17
"

                                    c＃开发工程师                                
",美康生物科技股份有限公司,长春,,10-17
"

                                    Linux C开发工程师                                
",网络通信与安全紫金山实验室,南京,,10-17
"

                                    C++开发工程师                                
",上海爱数信息技术股份有限公司,成都,,10-17
"

                                    软件开发测试工程师    C/C++（无线通信方向）                                
",叠拓信息技术（北京）有限公司成都...,成都,,10-17
"

                                    C/C++ Software Engineer (Graphics / Ray Tracing / Deep Learning /  HPC / System)                                
",英伟达半导体技术服务（上海）有限...,上海,,10-17
"

                                    c++开发工程师                                
",同程艺龙,北京,,10-17
"

                                    月入1.5万——招c1网约货运司机+全城派单不装卸                                
",哈尔滨市元通商贸有限公司,上海-嘉定区,1-1.5万/月,10-17
"

                                    C&C Billing Specialist（AR）                                
",飞利浦（中国）投资有限公司 Phil...,上海-静安区,,10-17
"

                                    开发工程师-C++（北京）                                
",中国电信研究院（网络与信息安全研...,北京-昌平区,15-30万/年,10-17
"

                                    c#全栈开发工程师                                
",文思海辉技术有限公司Pactera Tec...,苏州,1.5-2万/月,10-17
"

                                    C++软件工程师                                
",广州广电运通金融电子股份有限公司,广州,1-1.6万/月,10-17
